date,AAPL,ACN,AMD,AMZN,BAC,BLK,COST,CVS,DIS,DPZ,F,GILD,INTU,JD,JPM,KO,LUV,MA,MCD,MSFT,NAT,NVDA,PBI,PFE,SBUX,SPY,TGT,TM,TSLA,UL,UNH,WMT,XOM
2024-06-03,192.54087829589844,275.4597473144531,163.5500030517578,178.33999633789062,38.27776336669922,748.605712890625,808.9292602539062,56.006168365478516,100.73273468017578,509.72650146484375,10.907064437866211,59.88961410522461,560.74267578125,29.04375648498535,194.4728546142578,59.789432525634766,26.62462615966797,438.76312255859375,250.85202026367188,408.0035095214844,3.614225387573242,114.94135284423828,5.154886245727539,26.10250473022461,78.4821548461914,516.6672973632812,142.92892456054688,205.11370849609375,176.2899932861328,58.761051177978516,479.8844909667969,64.86691284179688,107.90473175048828
2024-06-04,192.8584442138672,281.61883544921875,159.99000549316406,179.33999633789062,38.08579635620117,756.232666015625,820.8341674804688,56.05268478393555,101.28164672851562,507.7772521972656,10.763904571533203,60.57887268066406,565.5274047851562,29.20888900756836,191.90968322753906,60.7490234375,26.730390548706055,440.3273010253906,253.7202911376953,410.51953125,3.5262880325317383,116.37762451171875,5.069447040557861,26.262805938720703,79.16102600097656,517.2449340820312,140.61260986328125,203.38323974609375,174.77000427246094,59.314002990722656,487.6504211425781,65.63562774658203,106.22652435302734
2024-06-05,194.36676025390625,284.51263427734375,166.1699981689453,181.27999877929688,38.35453796386719,759.6898193359375,827.6893920898438,56.46195983886719,99.4879150390625,503.99554443359375,10.799694061279297,60.31449890136719,567.7122192382812,29.713998794555664,190.0788116455078,60.73002624511719,27.36499786376953,442.19842529296875,251.08383178710938,418.3536376953125,3.614225387573242,122.3775634765625,5.097926616668701,26.316240310668945,77.60248565673828,523.392333984375,137.62387084960938,201.40142822265625,175.0,59.643638610839844,485.364013671875,66.1185302734375,106.65080261230469
2024-06-06,192.9874267578125,285.216552734375,166.77999877929688,185.0,38.104984283447266,749.7228393554688,835.96337890625,56.68520736694336,99.20366668701172,500.6719970703125,10.799694061279297,60.286170959472656,566.1107177734375,28.91748046875,189.74160766601562,60.94854736328125,26.778465270996094,444.19830322265625,251.7887725830078,418.8568420410156,3.60543155670166,120.9363021850586,5.0314741134643555,25.6483154296875,77.89888000488281,523.3826904296875,135.55039978027344,203.05453491210938,177.94000244140625,59.59046936035156,484.2063903808594,66.17765808105469,107.45218658447266
2024-06-07,195.37892150878906,281.9512023925781,167.8699951171875,184.3000030517578,38.413997650146484,745.1279907226562,838.8799438476562,57.466552734375,99.5271224975586,500.5355224609375,10.871273040771484,61.08872985839844,567.346435546875,28.490079879760742,192.6708984375,60.72052764892578,26.682315826416016,445.2972106933594,247.43328857421875,418.1957702636719,3.552669048309326,120.82635498046875,4.974513053894043,25.452390670776367,77.86064910888672,522.746337890625,136.36294555664062,199.4969482421875,177.47999572753906,59.13323211669922,473.3727111816406,64.9260482788086,106.30195617675781
2024-06-10,191.6378631591797,283.9358215332031,160.33999633789062,187.05999755859375,38.307769775390625,742.6852416992188,841.6181640625,56.07128143310547,100.70333099365234,513.2060546875,11.077067375183105,61.608028411865234,560.762451171875,28.74263572692871,192.3433074951172,60.4164924621582,28.557289123535156,444.7625732421875,245.11550903320312,422.1620788574219,3.5438754558563232,121.72789764404297,4.936540126800537,24.998201370239258,78.02318572998047,524.3615112304688,138.71664428710938,201.1017303466797,173.7899932861328,59.111968994140625,477.53057861328125,65.99040222167969,106.61307525634766
2024-06-11,205.5601806640625,287.6410827636719,158.9600067138672,187.22999572753906,37.52558898925781,734.4071044921875,842.5805053710938,55.81083679199219,98.87041473388672,514.5706176757812,10.83548355102539,61.268123626708984,560.2285766601562,28.56778907775879,187.28440856933594,60.37848663330078,26.970773696899414,444.5546875,245.5694122314453,426.907958984375,3.499906539916992,120.8582763671875,4.870086193084717,24.962581634521484,76.38813781738281,525.624267578125,136.54042053222656,198.4818572998047,170.66000366210938,59.111968994140625,478.7075500488281,65.76374053955078,105.755126953125
2024-06-12,211.4347686767578,279.3409423828125,160.24000549316406,186.88999938964844,38.05670166015625,746.5045166015625,841.0924072265625,55.801536560058594,98.80179595947266,517.9331665039062,10.80864143371582,60.748817443847656,585.4571533203125,28.71349334716797,184.55743408203125,59.74192428588867,27.34576988220215,438.5750427246094,245.7625274658203,435.1761474609375,3.5262880325317383,125.14643859863281,4.889072895050049,24.633068084716797,75.90049743652344,529.9412841796875,137.0914764404297,198.810546875,177.2899932861328,59.61174392700195,475.668701171875,65.34982299804688,104.5860366821289
2024-06-13,212.59579467773438,276.00714111328125,159.89999389648438,183.8300018310547,37.91184997558594,746.1168212890625,839.2569580078125,56.768917083740234,98.10586547851562,515.350341796875,10.683374404907227,60.01235580444336,587.8297729492188,28.558074951171875,186.60987854003906,59.846435546875,27.316923141479492,440.5550537109375,245.00927734375,435.689208984375,3.4823191165924072,129.55455017089844,4.727685928344727,24.624164581298828,76.72280883789062,531.00830078125,135.1300811767578,192.72007751464844,182.47000122070312,59.8563117980957,479.7494201660156,65.73416900634766,103.74694061279297
2024-06-14,210.85922241210938,280.29901123046875,159.6300048828125,183.66000366210938,37.892547607421875,745.7484741210938,848.8900756835938,56.015472412109375,97.98825073242188,509.65179443359375,10.477582931518555,62.18193435668945,588.8974609375,27.946117401123047,186.7255096435547,59.889522552490234,27.288076400756836,440.1886901855469,244.8933868408203,436.6660461425781,3.420762777328491,131.82359313964844,4.613766193389893,24.517297744750977,76.15866088867188,531.3314208984375,131.8424530029297,190.57391357421875,178.00999450683594,59.781883239746094,479.5757751464844,66.0495376586914,102.87012481689453
2024-06-17,215.00714111328125,279.1454162597656,158.39999389648438,184.05999755859375,38.15326690673828,757.1383666992188,861.0330810546875,56.824729919433594,99.50752258300781,520.1593627929688,10.602848052978516,61.42688751220703,595.6395874023438,28.402658462524414,187.8818359375,59.95654296875,27.66307258605957,443.6339416503906,244.82579040527344,442.388671875,3.403175115585327,130.92396545410156,4.6992058753967285,24.027484893798828,77.76502227783203,535.5601196289062,135.4009552001953,188.7080841064453,187.44000244140625,59.95201110839844,473.96649169921875,66.44374084472656,102.16300964355469
2024-06-18,212.64540100097656,278.96942138671875,154.6300048828125,182.80999755859375,38.616790771484375,759.6295166015625,863.8505249023438,56.75031661987305,99.4879150390625,521.6060180664062,10.540213584899902,60.35643005371094,602.7177734375,28.218097686767578,189.82830810546875,59.966121673583984,27.50826072692871,445.6140441894531,242.19894409179688,440.3857116699219,3.4647319316864014,135.52200317382812,4.632753372192383,24.410429000854492,76.68456268310547,536.9208374023438,133.13133239746094,187.68333435058594,184.86000061035156,59.72871398925781,466.0416259765625,66.62114715576172,103.12467956542969
2024-06-20,208.07077026367188,299.3141174316406,161.77999877929688,186.10000610351562,38.616790771484375,758.834716796875,855.6063842773438,56.74101638793945,99.82117462158203,513.160888671875,10.683374404907227,65.46019744873047,609.044677734375,27.858694076538086,191.43748474121094,59.53525924682617,27.150251388549805,447.99005126953125,245.1058349609375,439.7542724609375,3.508700370788574,130.72406005859375,4.5568060874938965,24.704315185546875,76.2256088256836,535.4622802734375,133.91590881347656,188.0700225830078,181.57000732421875,59.70744323730469,469.4034118652344,67.02521514892578,105.34971618652344
2024-06-21,205.89759826660156,302.0710754394531,161.22999572753906,189.0800018310547,38.13396072387695,763.4584350585938,841.58837890625,57.085182189941406,100.2426528930664,510.06231689453125,10.593899726867676,67.54376983642578,624.9312744140625,27.295303344726562,189.15379333496094,60.100162506103516,27.440528869628906,450.3067321777344,250.50436401367188,443.7798156738281,3.570256471633911,126.51585388183594,4.414405345916748,24.704315185546875,76.40727996826172,534.7444458007812,136.48435974121094,187.14198303222656,183.00999450683594,59.66490936279297,467.53363037109375,66.92665100097656,104.42577362060547
2024-06-24,206.54258728027344,300.3406066894531,160.25,185.57000732421875,38.6457633972168,774.4605102539062,841.4395751953125,57.4200439453125,99.95840454101562,521.3909301757812,10.942853927612305,67.60112762451172,616.7556762695312,27.54785919189453,191.63986206054688,61.24913024902344,27.566312789916992,452.3955993652344,251.46046447753906,441.6979675292969,3.60543155670166,118.05945587158203,4.518833160400391,25.256465911865234,76.23516845703125,533.0061645507812,139.80938720703125,192.3623809814453,182.5800018310547,59.86695098876953,474.6930847167969,67.90231323242188,107.5276107788086
2024-06-25,207.46546936035156,300.3015441894531,160.25,186.33999633789062,38.027732849121094,770.0404052734375,848.7313232421875,56.22010803222656,100.17404174804688,515.9661254882812,10.817588806152344,66.53065490722656,623.2704467773438,26.780481338500977,190.85934448242188,61.12465286254883,27.58566665649414,451.0986328125,248.56320190429688,444.9342346191406,3.631812572479248,126.03604125976562,4.4333930015563965,24.926958084106445,75.80488586425781,535.0587158203125,137.08213806152344,199.36158752441406,187.35000610351562,59.68617248535156,469.3840026855469,66.44374084472656,107.82930755615234
2024-06-26,211.61337280273438,297.80853271484375,157.5399932861328,193.61000061035156,37.66078186035156,763.3131103515625,850.0509033203125,56.396854400634766,100.1544418334961,507.65777587890625,10.83548355102539,66.24392700195312,630.2003784179688,26.722200393676758,190.24264526367188,61.32572555541992,27.527612686157227,447.8613586425781,248.99778747558594,446.1280822753906,3.675781011581421,126.34593200683594,4.6992058753967285,24.419336318969727,75.68058013916016,535.7265014648438,137.4557342529297,196.42269897460938,196.3699951171875,59.20766830444336,468.9383850097656,67.30115509033203,107.86702728271484
2024-06-27,212.4568634033203,296.4105224609375,159.47000122070312,197.85000610351562,37.90219497680664,757.186767578125,843.8800659179688,54.285343170166016,100.1446304321289,504.35400390625,10.942853927612305,65.78517150878906,644.0009155273438,25.50799560546875,191.9193115234375,61.191673278808594,27.546960830688477,438.3275146484375,249.32618713378906,446.808837890625,3.631812572479248,123.93695831298828,4.661232948303223,24.75775146484375,75.76663208007812,536.5711059570312,137.03543090820312,197.09942626953125,197.4199981689453,58.85676193237305,471.2635192871094,66.89708709716797,108.32899475097656
